epoch,step,train_loss,val_loss
0,24,,394.8183898925781
1,49,181.10472106933594,
1,49,,209.07290649414062
2,74,,168.7407989501953
3,99,172.34080505371094,
3,99,,196.0357666015625
4,124,,177.9653778076172
5,149,85.7436294555664,
5,149,,183.91989135742188
6,174,,198.9226531982422
7,199,75.42892456054688,
7,199,,191.22056579589844
8,224,,178.3434295654297
9,249,42.0020637512207,
9,249,,175.32528686523438
10,274,,173.8180389404297
11,299,35.44325637817383,
11,299,,157.06919860839844
12,324,,144.40782165527344
13,349,5.613440990447998,
13,349,,144.32737731933594
14,374,,133.48133850097656
15,399,23.88378143310547,
15,399,,132.28253173828125
16,424,,122.40185546875
17,449,2.1701014041900635,
17,449,,128.77700805664062
18,474,,123.68289184570312
19,499,0.32788705825805664,
19,499,,123.33302307128906
