iter	RMSE
0	1.001820075
1	1.001569647
2	1.001417917
3	1.001278147
4	1.000877237
5	1.000657778
6	1.000657778
7	1.000418294
8	1.000251608
9	1.00001948
10	0.9998049259
11	0.9996434768
12	0.9996434768
13	0.9994532251
14	0.9993933802
15	0.9990512912
16	0.9988965335
17	0.998580163
18	0.9983693371
19	0.9981614516
20	0.997896068
21	0.9977543694
22	0.9976756382
23	0.9975545779
24	0.9973228473
25	0.9971766274
26	0.9970903725
27	0.9969511096
28	0.9967788396
29	0.9967067067
30	0.9966006758
31	0.9964548338
32	0.9964548338
33	0.996208247
34	0.9960125815
35	0.9959195664
36	0.9955879896
37	0.9955333201
38	0.9953056241
39	0.9951243893
40	0.9948028979
41	0.9945104818
42	0.9942766545
43	0.9942766545
44	0.9942073961
45	0.994103424
46	0.9937280941
47	0.9936395459
48	0.9934055856
49	0.9932563904
50	0.9931594385
51	0.9928538995
52	0.9926709431
53	0.9925640934
54	0.9924584237
55	0.9923270559
56	0.9921270165
57	0.9921270165
58	0.9918708795
59	0.9917911806
60	0.9916834977
61	0.9915841938
62	0.9914006631
63	0.9912947097
64	0.991098542
65	0.9910405537
66	0.9908881273
67	0.9907857076
68	0.9905936413
69	0.9905036215
70	0.9903973268
71	0.9903103556
72	0.9901928149
73	0.9900966891
74	0.9897193654
75	0.9896929675
76	0.9894797537
77	0.9893489013
78	0.98921528
79	0.9891150631
80	0.9890843893
81	0.9889275592
82	0.9887055688
83	0.9887055688
84	0.9886139913
85	0.9884647039
86	0.9882071015
87	0.9880621046
88	0.9879268602
89	0.987815298
90	0.9876916749
91	0.9875719371
92	0.9873153106
93	0.9871539758
94	0.987037431
95	0.9869365226
96	0.9868445242
97	0.9867417936
98	0.9866807106
99	0.986618989
