iter	Passed	Remaining
0	14	1437
1	25	1241
2	36	1183
3	46	1119
4	57	1085
5	67	1052
6	73	980
7	85	984
8	97	982
9	106	960
10	117	948
11	127	932
12	135	907
13	144	890
14	153	872
15	163	858
16	172	840
17	181	827
18	190	811
19	200	800
20	209	788
21	220	783
22	231	774
23	239	759
24	249	748
25	258	734
26	267	723
27	276	711
28	286	701
29	294	687
30	303	674
31	312	663
32	319	647
33	329	639
34	338	628
35	348	620
36	357	608
37	366	598
38	375	586
39	384	577
40	394	567
41	404	559
42	414	549
43	421	536
44	431	527
45	440	517
46	449	507
47	459	497
48	467	487
49	477	477
50	485	466
51	497	459
52	506	449
53	516	439
54	525	429
55	534	420
56	546	412
57	552	400
58	562	390
59	570	380
60	579	370
61	588	360
62	598	351
63	608	342
64	617	332
65	626	322
66	636	313
67	653	307
68	662	297
69	671	287
70	680	277
71	690	268
72	699	258
73	708	249
74	717	239
75	727	229
76	736	220
77	753	212
78	770	204
79	778	194
80	786	184
81	795	174
82	805	164
83	811	154
84	820	144
85	829	135
86	839	125
87	855	116
88	864	106
89	873	97
90	882	87
91	891	77
92	902	67
93	911	58
94	921	48
95	931	38
96	941	29
97	952	19
98	961	9
99	969	0
