iter	Passed	Remaining
0	4	8250
1	7	7736
2	11	7546
3	14	7423
4	18	7338
5	21	7283
6	25	7242
7	28	7208
8	32	7185
9	35	7161
10	39	7146
11	43	7135
12	46	7124
13	50	7110
14	53	7096
15	57	7090
16	60	7081
17	64	7073
18	67	7063
19	71	7054
20	74	7048
21	78	7041
22	81	7034
23	85	7027
24	88	7023
25	92	7018
26	95	7014
27	99	7008
28	103	7004
29	106	6997
30	110	6992
31	113	6988
32	117	6981
33	120	6977
34	124	6974
35	127	6967
36	131	6965
37	134	6960
38	138	6955
39	141	6952
40	145	6947
41	148	6942
42	152	6936
43	155	6933
44	159	6928
45	163	6926
46	166	6921
47	170	6917
48	173	6913
49	177	6909
50	180	6905
51	184	6902
52	187	6900
53	191	6897
54	194	6892
55	198	6889
56	201	6885
57	205	6881
58	209	6879
59	212	6874
60	216	6871
61	219	6866
62	223	6863
63	226	6859
64	230	6854
65	233	6849
66	237	6846
67	240	6841
68	244	6836
69	247	6834
70	251	6829
71	254	6826
72	258	6822
73	262	6819
74	265	6814
75	269	6810
76	272	6807
77	276	6804
78	279	6800
79	283	6796
80	286	6793
81	290	6788
82	293	6784
83	297	6779
84	300	6775
85	304	6772
86	307	6768
87	311	6764
88	314	6760
89	318	6757
90	321	6754
91	325	6751
92	329	6746
93	332	6742
94	336	6739
95	339	6735
96	343	6731
97	346	6727
98	350	6722
99	353	6718
100	357	6715
101	360	6711
102	364	6708
103	367	6704
104	371	6700
105	374	6696
106	378	6692
107	381	6688
108	385	6685
109	388	6681
110	392	6676
111	395	6673
112	399	6669
113	402	6666
114	406	6662
115	409	6658
116	413	6655
117	417	6651
118	420	6647
119	424	6643
120	427	6639
121	431	6635
122	434	6631
123	438	6627
124	441	6624
125	445	6620
126	448	6616
127	452	6612
128	455	6608
129	459	6604
130	462	6600
131	466	6597
132	469	6593
133	473	6589
134	476	6585
135	480	6582
136	483	6578
137	487	6574
138	490	6570
139	494	6566
140	497	6562
141	501	6559
142	504	6556
143	508	6552
144	511	6549
145	515	6545
146	519	6542
147	522	6538
148	526	6535
149	529	6532
150	533	6527
151	536	6523
152	540	6520
153	543	6516
154	547	6513
155	550	6509
156	554	6506
157	557	6502
158	561	6498
159	564	6494
160	568	6491
161	571	6488
162	575	6485
163	579	6482
164	582	6479
165	586	6475
166	589	6472
167	593	6468
168	596	6466
169	600	6462
170	603	6459
171	607	6455
172	611	6452
173	614	6449
174	618	6446
175	621	6442
176	625	6439
177	628	6436
178	632	6433
179	635	6430
180	639	6426
181	643	6423
182	646	6419
183	650	6416
184	653	6412
185	657	6409
186	660	6405
187	664	6402
188	667	6399
189	671	6395
190	674	6392
191	678	6389
192	682	6385
193	685	6382
194	689	6378
195	692	6375
196	696	6372
197	699	6369
198	703	6365
199	706	6362
200	710	6359
201	714	6355
202	717	6352
203	721	6348
204	724	6344
205	728	6340
206	731	6337
207	735	6333
208	738	6329
209	742	6326
210	745	6322
211	749	6319
212	752	6315
213	756	6312
214	759	6308
215	763	6304
